colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1744,"Tehkhand Village, Urbanised Village, Okhla Ph- I, New Delhi-20",58-(ELD),regular,0,1721,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1745,"Samalka Village, New Delhi-37",58-(LOP),regular,1,640,https://dda.gov.in/sites/default/files/pmuday/640_1132.pdf,,2019-12-04,"(1)58-(LOP) Samalka Village, New Delhi-37 (2) 839 Samalka Extn.(East) Telephone Exchange Road Samalka,New Delhi (3) 901 Samalka Extn.Kapashera Chowk Najafgarh Road (4)83-(ELD) ichaon Kalan Extn, Main Dichaon Kalan Road, Najafgarh New Delhi 43",https://dda.gov.in/delineated-boundary
1746,"Sani Mohalla(Near Electrition Office) Bijwasan, New Delhi-61",59-(ELD),regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1747,"Sanjay Colony, Bhatti Mines, Bhagirath Nagar, New Delhi-74",59-(LOP),regular,0,1678,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1748,"Masoodpur, Distt- South West, New Delhi-70",6-(ELD),regular,0,1679,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1749,"Janhit Sewa Samiti, Shri Niwas Puri Extn., New Delhi 65",6-(LOP),regular,0,1680,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1750,"Village Pansali & Extn. Abadi, Delhi 85",60-(ELD),regular,0,1681,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1751,"Deep Vihar Colony, Pansali, Delhi",60-(LOP),regular,0,1722,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1752,Village Prahladpur & Extn. Abadi Delhi 85,61-(ELD),regular,0,1683,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1753,"Keshav Nagar, Garhi Khusro, Burari, Delhi",61-(LOP),regular,1,66,https://dda.gov.in/sites/default/files/pmuday/66_952.pdf,,2019-11-25,"(1) REGD. NO. 61-(LOP)_Keshav Nagar, Garhi Khusro, Burari, Delhi, (2) REGD. NO.1588_Mukti Aashram Colony, Ibrahim Pur",https://dda.gov.in/delineated-boundary
1754,Village Mundka Kanshi Ram Park Delhi 41,62-(ELD),regular,0,1685,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1755,"State Bank Coop Housing Society, Nanak PIAO Factory Owner Association",62-(LOP),regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1756,Begumpur Village (South) New Delhi 17,63-(ELD),regular,0,1687,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1757,"J & K Block, Swaroop Nagar, Delhi-42",63-(LOP),regular,0,1688,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1758,"Bakhtawar Pur Extn.II, Bakhtawar Pur, Delhi-36",64-(ELD),regular,0,1689,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1759,"Swaroop Nagar, Part-II, East G.T.Road to Buaradi Road, Delhi-42",64-(LOP),regular,0,1690,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1760,"Mitroun Uthan Samiti, ICE Factory Road, Village- Mitraoun, New Delhi-43",65-(ELD),regular,0,1691,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1761,"Indira Colony Near Sidharth Basti, Ashram, New Delhi-14",65-(LOP),regular,0,1692,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
